"text"|"count_0_to_1_million"|"count_0_to_5_million"|"count_0_to_10_million"|"count_10_million"
"[{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"8221"|"322"|"266"|"2422"
"[]"|"3633"|"35"|"7"|"16"
"[{""iso_3166_1"": ""GB"",""name"": ""United Kingdom""}]"|"1138"|"32"|"13"|"56"
"[{""iso_3166_1"": ""GB"",""name"": ""United Kingdom""},{""iso_3166_1"": ""US"",""name"": ""United States of America""}]"|"237"|"20"|"14"|"135"
"[{""iso_3166_1"": ""CA"",""name"": ""Canada""}]"|"347"|"12"|"2"|"15"
"[{""iso_3166_1"": ""ES"",""name"": ""Spain""}]"|"157"|"11"|"3"|"13"
"[{""iso_3166_1"": ""FR"",""name"": ""France""}]"|"829"|"11"|"5"|"35"
"[{""iso_3166_1"": ""AU"",""name"": ""Australia""}]"|"157"|"7"|"4"|"9"
"[{""iso_3166_1"": ""KR"",""name"": ""South Korea""}]"|"83"|"5"|"0"|"7"
"[{""iso_3166_1"": ""IN"",""name"": ""India""}]"|"122"|"5"|"7"|"21"
